timestamp,elapsed_seconds,system_memory_total_gb,system_memory_used_gb,system_memory_percent,system_memory_available_gb,system_memory_cached_gb,system_memory_buffers_gb,system_swap_total_gb,system_swap_used_gb,system_swap_percent,anem.py_pid,anem.py_memory_mb,anem.py_memory_percent,anem.py_cpu_percent,anem.py_status,pwm.py_pid,pwm.py_memory_mb,pwm.py_memory_percent,pwm.py_cpu_percent,pwm.py_status,gps.py_pid,gps.py_memory_mb,gps.py_memory_percent,gps.py_cpu_percent,gps.py_status,imu.py_pid,imu.py_memory_mb,imu.py_memory_percent,imu.py_cpu_percent,imu.py_status,control.py_pid,control.py_memory_mb,control.py_memory_percent,control.py_cpu_percent,control.py_status,battery_water.py_pid,battery_water.py_memory_mb,battery_water.py_memory_percent,battery_water.py_cpu_percent,battery_water.py_status,temp_monitor.py_pid,temp_monitor.py_memory_mb,temp_monitor.py_memory_percent,temp_monitor.py_cpu_percent,temp_monitor.py_status
2025-09-15 04:14:47,879.9,1.94,0.51,32.2,1.32,0.51,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,3558.2,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:14:57,890.1,1.94,0.51,32.2,1.32,0.51,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:15:08,900.3,1.94,0.52,31.7,1.32,0.51,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:15:18,910.5,1.94,0.52,31.7,1.32,0.51,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:15:28,920.7,1.94,0.52,31.7,1.32,0.51,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:15:38,930.9,1.94,0.52,31.8,1.32,0.51,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:15:48,941.2,1.94,0.52,31.8,1.32,0.51,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:15:59,951.4,1.94,0.52,31.8,1.32,0.51,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:16:09,961.6,1.94,0.52,31.8,1.32,0.51,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:16:19,971.8,1.94,0.52,31.8,1.32,0.51,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:16:29,982.1,1.94,0.52,31.8,1.32,0.51,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
