nohup: ignoring input
🔍 Starting memory monitor for 30 minutes
📊 Recording every 10 seconds
💾 Data will be saved to: /home/orangepi/argo/memory_usage_20250915_040007.csv
⏰ Started at: 2025-09-15 04:00:07
⏰ Will finish at: 2025-09-15 04:30:07
============================================================
[2025-09-15 04:19:03] Elapsed: 1136s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:19:13] Elapsed: 1146s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:19:23] Elapsed: 1156s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:19:34] Elapsed: 1166s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:19:44] Elapsed: 1177s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:19:54] Elapsed: 1187s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:20:04] Elapsed: 1197s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:20:15] Elapsed: 1207s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:20:25] Elapsed: 1218s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:20:35] Elapsed: 1228s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:20:45] Elapsed: 1238s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:20:56] Elapsed: 1248s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:21:06] Elapsed: 1259s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:21:16] Elapsed: 1269s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:21:26] Elapsed: 1279s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:21:36] Elapsed: 1289s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:21:47] Elapsed: 1299s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:21:57] Elapsed: 1310s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:22:07] Elapsed: 1320s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:22:17] Elapsed: 1330s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:22:28] Elapsed: 1340s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:22:38] Elapsed: 1351s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:22:48] Elapsed: 1361s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:22:58] Elapsed: 1371s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:23:08] Elapsed: 1381s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:23:19] Elapsed: 1391s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:23:29] Elapsed: 1402s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:23:39] Elapsed: 1412s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:23:49] Elapsed: 1422s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:24:00] Elapsed: 1432s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:24:10] Elapsed: 1443s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:24:20] Elapsed: 1453s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:24:30] Elapsed: 1463s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:24:41] Elapsed: 1473s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:24:51] Elapsed: 1484s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:25:01] Elapsed: 1494s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:25:11] Elapsed: 1504s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:25:22] Elapsed: 1514s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:25:32] Elapsed: 1524s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:25:42] Elapsed: 1535s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:25:52] Elapsed: 1545s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:26:02] Elapsed: 1555s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:26:13] Elapsed: 1565s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:26:23] Elapsed: 1576s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:26:33] Elapsed: 1586s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:26:43] Elapsed: 1596s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:26:54] Elapsed: 1606s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:27:04] Elapsed: 1617s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:27:14] Elapsed: 1627s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:27:24] Elapsed: 1637s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:27:34] Elapsed: 1647s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:27:45] Elapsed: 1657s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:27:55] Elapsed: 1668s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:28:05] Elapsed: 1678s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:28:15] Elapsed: 1688s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:28:26] Elapsed: 1698s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:28:36] Elapsed: 1709s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:28:46] Elapsed: 1719s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:28:56] Elapsed: 1729s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:29:07] Elapsed: 1740s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:29:17] Elapsed: 1750s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:29:27] Elapsed: 1760s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:29:37] Elapsed: 1770s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:29:48] Elapsed: 1780s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:29:58] Elapsed: 1791s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:30:08] Elapsed: 1801s | System: 32.1% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB

============================================================
✅ Memory monitoring completed!
📊 Data saved to: /home/orangepi/argo/memory_usage_20250915_040007.csv
⏰ Finished at: 2025-09-15 04:30:08
============================================================
